time, t, R, r, q, v, a, l, step
2019-08-07_6h-38m-37s,14001,201.96,1.0098,7620.279097656249,7620.279097656249,-0.1038201282992959,0.008405197262763977,200
2019-08-07_6h-47m-20s,14201,201.924,1.00962,7669.914812500001,7669.914812500001,-0.11362834751978516,0.00837886405736208,200
2019-08-07_6h-56m-5s,14401,201.936,1.0096800000000001,7718.6739296875,7718.6739296875,-0.1126598550491035,0.008459808871150016,200
2019-08-07_7h-4m-48s,14601,202.11599999999999,1.01058,7766.49810546875,7766.49810546875,-0.13685382948070765,0.008445679817348718,200
2019-08-07_7h-13m-32s,14801,201.816,1.00908,7813.391785156249,7813.391785156249,-0.11262624214589596,0.008431831125169991,200
2019-08-07_7h-22m-18s,15001,202.73999999999998,1.0136999999999998,7859.3441132812495,7859.3441132812495,-0.11827310218289495,0.008480795834213494,200
2019-08-07_7h-31m-2s,15201,201.78,1.0089,7904.3002578125,7904.3002578125,-0.139798613935709,0.008455058235675095,200
2019-08-07_7h-39m-48s,15401,201.80400000000003,1.0090200000000003,7948.3450898437495,7948.3450898437495,-0.12097079955041408,0.008477483745664358,200
2019-08-07_7h-48m-30s,15601,201.92399999999998,1.00962,7991.6798828125,7991.6798828125,-0.11369268991053105,0.00845047264546156,200
2019-08-07_7h-57m-13s,15801,201.624,1.00812,8034.00916015625,8034.00916015625,-0.1139745820350945,0.00841695111989975,200
2019-08-07_8h-6m-1s,16001,202.524,1.01262,8075.53598828125,8075.53598828125,-0.14067894869670272,0.008421221483498812,200
2019-08-07_8h-14m-45s,16201,201.63600000000002,1.00818,8116.204890625,8116.204890625,-0.11736832960695028,0.008400913126766682,200
2019-08-07_8h-23m-29s,16401,201.696,1.00848,8156.228378906249,8156.228378906249,-0.11922914478927851,0.008438158180564643,200
2019-08-07_8h-32m-16s,16601,201.83999999999997,1.0091999999999999,8195.32860546875,8195.32860546875,-0.10333901521191,0.008436818536370991,200
2019-08-07_8h-41m-6s,16801,202.14,1.0107,8233.66839453125,8233.66839453125,-0.10936550640314817,0.008400977794080973,200
2019-08-07_8h-49m-57s,17001,201.672,1.00836,8271.25249609375,8271.25249609375,-0.148614109441638,0.008396992776542902,200
2019-08-07_8h-58m-43s,17201,201.828,1.00914,8308.182078125,8308.182078125,-0.11788570319116116,0.008397563628852366,200
2019-08-07_9h-7m-50s,17401,201.06,1.0053,8344.3268828125,8344.3268828125,-0.13537281414866448,0.008418266776949167,200
2019-08-07_9h-16m-52s,17601,200.736,1.00368,8379.6900703125,8379.6900703125,-0.11382220524549484,0.008393162060528994,200
2019-08-07_9h-25m-48s,17801,202.32,1.0116,8414.348765625,8414.348765625,-0.11508023848384619,0.00840077656134963,200
2019-08-07_9h-34m-43s,18001,202.32,1.0116,8448.38192578125,8448.38192578125,-0.1468351403325796,0.00845474210381508,200
2019-08-07_9h-43m-42s,18201,202.716,1.0135800000000001,8481.768765625,8481.768765625,-0.11823739110678436,0.00845423698797822,200
2019-08-07_9h-52m-38s,18401,200.7,1.0034999999999998,8514.37587890625,8514.37587890625,-0.11909090696275235,0.008419988993555307,200
