state, action, reward
0.936;0.0122;0.5;0.4878;0.0007;0.0273;0.0267,35;120;30,0.972
1.164;0.0403;0.5101;0.4497;0.004;0.0507;0.0447,95;120;60,0.768
0.48;0.035;0.4965;0.4685;0.0033;0.0473;0.0447,80;90;30,0.744
0.912;0.0263;0.4868;0.4868;0.0013;0.0247;0.0247,95;120;45,0.924
0.84;0.0;0.5;0.5;0.0;0.0273;0.0273,55;95;45,0.96
1.068;0.1;0.48;0.42;0.0067;0.032;0.028,100;40;90,0.936
0.948;0.0235;0.5176;0.4588;0.0013;0.0293;0.026,75;45;80,0.912
1.104;0.0396;0.5248;0.4356;0.0027;0.0353;0.0293,110;40;100,0.876
0.84;0.0;0.5556;0.4444;0.0;0.03;0.024,45;35;105,0.828
1.044;0.0408;0.5102;0.449;0.0027;0.0333;0.0293,80;95;115,0.888
0.756;0.0267;0.4933;0.48;0.0013;0.0247;0.024,65;60;95,0.912
1.044;0.0;0.5158;0.4842;0.0;0.0327;0.0307,55;30;115,0.924
0.78;0.0103;0.5052;0.4845;0.0007;0.0327;0.0313,105;75;105,0.828
0.78;0.0;0.5455;0.4545;0.0;0.028;0.0233,70;80;60,0.9
1.02;0.0833;0.4792;0.4375;0.0053;0.0307;0.028,95;60;55,0.888
1.056;0.0341;0.5;0.4659;0.002;0.0293;0.0273,60;120;95,0.972
0.924;0.0133;0.5333;0.4533;0.0007;0.0267;0.0227,120;110;115,0.864
0.912;0.0333;0.5111;0.4556;0.002;0.0307;0.0273,85;105;90,0.84
0.732;0.0;0.5185;0.4815;0.0;0.028;0.026,100;120;60,0.936
1.056;0.037;0.5185;0.4444;0.002;0.028;0.024,35;110;120,1.02
1.032;0.1188;0.4752;0.4059;0.008;0.032;0.0273,75;100;30,0.84
0.984;0.0;0.5488;0.4512;0.0;0.03;0.0247,30;85;105,0.996
1.14;0.0926;0.4259;0.4815;0.0067;0.0307;0.0347,110;115;50,0.996
1.044;0.0366;0.5;0.4634;0.002;0.0273;0.0253,85;50;75,0.912
1.008;0.025;0.5125;0.4625;0.0013;0.0273;0.0247,75;40;80,0.9
0.972;0.0222;0.4889;0.4889;0.0013;0.0293;0.0293,30;70;75,0.912
0.984;0.0341;0.5;0.4659;0.002;0.0293;0.0273,45;60;105,0.972
0.984;0.0654;0.4766;0.4579;0.0047;0.034;0.0327,90;60;30,0.78
0.984;0.0235;0.5059;0.4706;0.0013;0.0287;0.0267,85;60;90,0.852
0.6;0.0;0.48;0.52;0.0;0.024;0.026,90;110;60,0.84
0.876;0.0139;0.5417;0.4444;0.0007;0.026;0.0213,90;40;65,0.9
1.152;0.0932;0.4492;0.4576;0.0073;0.0353;0.036,105;115;85,0.924
0.912;0.0;0.519;0.481;0.0;0.0273;0.0253,40;50;35,0.876
1.044;0.0;0.5158;0.4842;0.0;0.0327;0.0307,45;40;40,0.876
0.864;0.05;0.4875;0.4625;0.0027;0.026;0.0247,85;85;45,0.84
0.984;0.0306;0.5408;0.4286;0.002;0.0353;0.028,120;45;60,0.84
0.996;0.0397;0.4636;0.4967;0.004;0.0467;0.05,40;75;110,0.744
0.6;0.0137;0.5068;0.4795;0.0007;0.0247;0.0233,115;115;110,0.9
0.756;0.0;0.5063;0.4937;0.0;0.0267;0.026,45;100;95,0.996
1.044;0.0505;0.5051;0.4444;0.0033;0.0333;0.0293,100;35;80,0.936
0.636;0.0132;0.4868;0.5;0.0007;0.0247;0.0253,85;55;40,0.948
