state, action, reward
0.636;0.0244;0.5041;0.4715;0.002;0.0413;0.0387,45;120;40,0.768
1.056;0.0488;0.5244;0.4268;0.0027;0.0287;0.0233,50;95;70,0.876
0.84;0.0667;0.4381;0.4952;0.0047;0.0307;0.0347,55;70;55,0.78
1.044;0.011;0.4505;0.5385;0.0007;0.0273;0.0327,80;105;35,0.9
0.828;0.0;0.4868;0.5132;0.0;0.0247;0.026,45;40;115,0.888
0.948;0.0235;0.5176;0.4588;0.0013;0.0293;0.026,60;105;50,0.984
1.032;0.0485;0.4951;0.4563;0.0033;0.034;0.0313,80;105;30,0.912
0.84;0.0103;0.4948;0.4948;0.0007;0.032;0.032,80;120;75,0.852
0.792;0.0147;0.4412;0.5441;0.0007;0.02;0.0247,105;85;55,0.792
0.816;0.0127;0.5063;0.481;0.0007;0.0267;0.0253,100;50;70,0.972
0.852;0.0366;0.4756;0.4878;0.002;0.026;0.0267,60;75;85,0.96
1.056;0.0206;0.4536;0.5258;0.0013;0.0293;0.034,65;85;60,0.912
0.744;0.0429;0.4857;0.4714;0.002;0.0227;0.022,70;60;65,0.936
0.648;0.026;0.4675;0.5065;0.0013;0.024;0.026,115;110;65,0.972
1.044;0.0103;0.5155;0.4742;0.0007;0.0333;0.0307,85;85;65,0.936
1.116;0.0421;0.5158;0.4421;0.0027;0.0327;0.028,110;100;75,0.936
0.48;0.0;0.4935;0.5065;0.0;0.0253;0.026,35;55;85,0.828
1.128;0.0673;0.4615;0.4712;0.0047;0.032;0.0327,75;105;65,0.924
1.104;0.1053;0.4737;0.4211;0.008;0.036;0.032,105;50;115,0.816
1.044;0.0127;0.4937;0.4937;0.0007;0.026;0.026,70;105;65,0.9
0.924;0.0;0.5506;0.4494;0.0;0.0327;0.0267,30;80;30,0.912
0.984;0.025;0.5375;0.4375;0.0013;0.0287;0.0233,85;45;115,0.9
1.104;0.1176;0.4804;0.402;0.008;0.0327;0.0273,115;85;55,0.9
1.02;0.0123;0.4691;0.5185;0.0007;0.0253;0.028,75;70;75,0.948
1.008;0.0482;0.4699;0.4819;0.0027;0.026;0.0267,30;95;70,1.044
1.128;0.0619;0.4948;0.4433;0.004;0.032;0.0287,70;100;110,0.888
1.032;0.0;0.5181;0.4819;0.0;0.0287;0.0267,70;45;110,0.924
0.372;0.0;0.4795;0.5205;0.0;0.0233;0.0253,50;55;75,0.876
0.876;0.0;0.5301;0.4699;0.0;0.0293;0.026,45;95;105,1.032
0.528;0.0147;0.5441;0.4412;0.0007;0.0247;0.02,110;115;85,0.96
1.14;0.0506;0.519;0.4304;0.0027;0.0273;0.0227,100;60;75,0.984
1.044;0.0127;0.557;0.4304;0.0007;0.0293;0.0227,115;100;55,0.864
0.984;0.0588;0.5;0.4412;0.004;0.034;0.03,35;80;120,0.744
1.032;0.0;0.5063;0.4937;0.0;0.0267;0.026,55;75;90,0.9
0.744;0.0116;0.5;0.4884;0.0007;0.0287;0.028,35;55;45,0.78
0.804;0.027;0.473;0.5;0.0013;0.0233;0.0247,45;100;90,0.948
0.888;0.0238;0.5;0.4762;0.0013;0.028;0.0267,40;60;55,0.996
1.02;0.0714;0.4762;0.4524;0.004;0.0267;0.0253,65;90;100,1.008
0.852;0.0122;0.5;0.4878;0.0007;0.0273;0.0267,45;90;35,0.888
0.948;0.0;0.4588;0.5412;0.0;0.026;0.0307,30;35;100,0.984
1.116;0.0103;0.5155;0.4742;0.0007;0.0333;0.0307,85;95;85,0.984
1.08;0.0568;0.5114;0.4318;0.0033;0.03;0.0253,85;100;120,0.912
0.432;0.0139;0.4861;0.5;0.0007;0.0233;0.024,105;65;65,0.888
1.116;0.0404;0.4949;0.4646;0.0027;0.0327;0.0307,100;65;110,1.044
0.84;0.0;0.51;0.49;0.0;0.034;0.0327,120;105;120,0.768
0.72;0.0561;0.4766;0.4673;0.004;0.034;0.0333,105;85;45,0.72
1.044;0.0112;0.5506;0.4382;0.0007;0.0327;0.026,105;65;55,0.984
1.092;0.0825;0.4433;0.4742;0.0053;0.0287;0.0307,100;55;45,1.02
1.104;0.0706;0.4941;0.4353;0.004;0.028;0.0247,110;60;60,0.9
0.564;0.0;0.5286;0.4714;0.0;0.0247;0.022,35;115;45,0.852
1.068;0.0111;0.5;0.4889;0.0007;0.03;0.0293,60;35;95,1.044
0.456;0.0;0.5422;0.4578;0.0;0.03;0.0253,110;120;110,0.9
0.348;0.0;0.4868;0.5132;0.0;0.0247;0.026,120;110;65,0.864
1.068;0.0096;0.5;0.4904;0.0007;0.0347;0.034,40;95;65,0.912
1.056;0.0256;0.4744;0.5;0.0013;0.0247;0.026,115;65;60,0.9
1.068;0.0238;0.4643;0.5119;0.0013;0.026;0.0287,80;90;85,0.888
1.14;0.1373;0.4412;0.4216;0.0093;0.03;0.0287,95;115;60,0.948
1.032;0.0247;0.4815;0.4938;0.0013;0.026;0.0267,50;65;95,0.972
0.864;0.0128;0.5128;0.4744;0.0007;0.0267;0.0247,115;120;85,0.924
1.176;0.1034;0.4483;0.4483;0.008;0.0347;0.0347,65;90;85,0.912
1.008;0.0;0.5119;0.4881;0.0;0.0287;0.0273,105;60;30,0.852
0.876;0.0353;0.4941;0.4706;0.002;0.028;0.0267,55;80;35,0.816
0.972;0.0;0.5122;0.4878;0.0;0.028;0.0267,65;110;55,0.948
0.972;0.0638;0.4681;0.4681;0.004;0.0293;0.0293,80;35;50,0.948
0.984;0.0899;0.4831;0.427;0.0053;0.0287;0.0253,50;35;30,0.924
1.08;0.0562;0.4719;0.4719;0.0033;0.028;0.028,80;85;110,0.888
0.672;0.0423;0.4789;0.4789;0.002;0.0227;0.0227,60;50;120,0.912
1.14;0.0459;0.4771;0.4771;0.0033;0.0347;0.0347,75;100;75,0.948
0.708;0.0118;0.5176;0.4706;0.0007;0.0293;0.0267,40;55;75,0.912
1.14;0.0331;0.5207;0.4463;0.0027;0.042;0.036,120;55;70,0.756
0.948;0.0513;0.4487;0.5;0.0027;0.0233;0.026,85;30;75,0.84
1.068;0.0253;0.4937;0.481;0.0013;0.026;0.0253,110;50;55,1.008
0.972;0.0;0.5326;0.4674;0.0;0.0327;0.0287,110;30;70,0.864
1.008;0.0625;0.4375;0.5;0.0033;0.0233;0.0267,60;90;80,0.888
0.804;0.0513;0.4744;0.4744;0.0027;0.0247;0.0247,45;105;115,0.948
0.72;0.0;0.519;0.481;0.0;0.0273;0.0253,65;65;65,0.924
1.02;0.0114;0.5227;0.4659;0.0007;0.0307;0.0273,70;30;65,0.924
0.972;0.0065;0.5325;0.461;0.0007;0.0547;0.0473,40;115;75,0.78
0.216;0.0;0.4925;0.5075;0.0;0.022;0.0227,120;110;75,0.9
1.02;0.0795;0.4886;0.4318;0.0047;0.0287;0.0253,50;45;40,0.876
1.092;0.0388;0.5631;0.3981;0.0027;0.0387;0.0273,90;85;55,0.936
1.032;0.0192;0.5288;0.4519;0.0013;0.0367;0.0313,120;85;75,0.888
1.02;0.0;0.506;0.494;0.0;0.028;0.0273,85;30;45,0.9
1.14;0.0217;0.5326;0.4457;0.0013;0.0327;0.0273,45;50;105,0.96
0.756;0.0247;0.5185;0.4568;0.0013;0.028;0.0247,35;100;115,0.828
0.876;0.0;0.5063;0.4937;0.0;0.0267;0.026,80;105;120,1.044
1.14;0.0654;0.4766;0.4579;0.0047;0.034;0.0327,110;80;50,0.84
1.08;0.0463;0.5185;0.4352;0.0033;0.0373;0.0313,60;110;70,0.804
0.864;0.0506;0.4684;0.481;0.0027;0.0247;0.0253,65;30;115,0.9
1.26;0.0459;0.4954;0.4587;0.0033;0.036;0.0333,80;95;45,0.876
1.14;0.0645;0.4731;0.4624;0.004;0.0293;0.0287,100;85;95,0.96
0.696;0.0;0.5208;0.4792;0.0;0.0333;0.0307,115;85;55,0.912
0.648;0.0;0.5;0.5;0.0;0.0253;0.0253,120;110;110,0.864
0.912;0.0;0.525;0.475;0.0;0.028;0.0253,65;40;75,0.912
0.792;0.0811;0.4324;0.4865;0.004;0.0213;0.024,55;45;90,0.936
0.708;0.0;0.527;0.473;0.0;0.026;0.0233,105;80;105,0.972
1.08;0.0208;0.4583;0.5208;0.0013;0.0293;0.0333,115;90;70,0.876
1.128;0.0435;0.5543;0.4022;0.0027;0.034;0.0247,80;95;55,0.9
1.008;0.0133;0.52;0.4667;0.0007;0.026;0.0233,120;45;80,0.936
1.08;0.0729;0.4896;0.4375;0.0047;0.0313;0.028,120;75;80,0.96
1.14;0.0211;0.4737;0.5053;0.0013;0.03;0.032,90;105;90,0.912
1.056;0.0654;0.4579;0.4766;0.0047;0.0327;0.034,100;50;35,0.828
1.044;0.0824;0.4824;0.4353;0.0047;0.0273;0.0247,80;100;40,0.972
0.972;0.0714;0.4881;0.4405;0.004;0.0273;0.0247,60;85;60,0.912
1.116;0.0833;0.4896;0.4271;0.0053;0.0313;0.0273,75;105;60,0.948
1.008;0.0115;0.4713;0.5172;0.0007;0.0273;0.03,115;110;110,0.912
0.756;0.0127;0.519;0.4684;0.0007;0.0273;0.0247,110;50;95,0.984
1.164;0.1376;0.4771;0.3853;0.01;0.0347;0.028,95;75;70,0.972
0.972;0.0575;0.4943;0.4483;0.0033;0.0287;0.026,75;95;30,0.876
0.984;0.0265;0.4956;0.4779;0.002;0.0373;0.036,40;70;50,0.792
1.092;0.0108;0.4409;0.5484;0.0007;0.0273;0.034,90;100;120,0.876
1.08;0.051;0.4184;0.5306;0.0033;0.0273;0.0347,80;55;40,0.888
0.996;0.033;0.4725;0.4945;0.002;0.0287;0.03,50;100;70,0.864
1.02;0.0114;0.4659;0.5227;0.0007;0.0273;0.0307,45;40;105,0.972
1.056;0.0;0.4886;0.5114;0.0;0.0287;0.03,110;70;120,0.924
1.116;0.1308;0.4462;0.4231;0.0113;0.0387;0.0367,110;90;50,0.768
0.984;0.0;0.5068;0.4932;0.0;0.0247;0.024,40;75;80,0.948
0.876;0.0606;0.4848;0.4545;0.004;0.032;0.03,50;90;120,0.804
1.02;0.0122;0.5244;0.4634;0.0007;0.0287;0.0253,115;70;100,0.924
0.924;0.0;0.5256;0.4744;0.0;0.0273;0.0247,55;30;105,0.996
0.516;0.0132;0.4474;0.5395;0.0007;0.0227;0.0273,90;45;65,0.804
1.056;0.0;0.4889;0.5111;0.0;0.0293;0.0307,40;120;55,0.948
0.552;0.0147;0.5;0.4853;0.0007;0.0227;0.022,55;120;80,0.876
0.972;0.044;0.4725;0.4835;0.0027;0.0287;0.0293,105;70;85,0.756
1.08;0.0106;0.5;0.4894;0.0007;0.0313;0.0307,65;65;120,0.9
1.068;0.0588;0.4412;0.5;0.004;0.03;0.034,65;45;35,1.02
0.984;0.0978;0.5109;0.3913;0.006;0.0313;0.024,100;70;30,0.852
1.116;0.0215;0.5161;0.4624;0.0013;0.032;0.0287,120;75;120,0.936
0.996;0.0345;0.5172;0.4483;0.002;0.03;0.026,85;45;40,0.984
0.912;0.0706;0.4588;0.4706;0.004;0.026;0.0267,115;100;30,0.936
0.408;0.0;0.5068;0.4932;0.0;0.0247;0.024,95;90;75,0.852
0.936;0.0471;0.4824;0.4706;0.0027;0.0273;0.0267,35;30;50,0.912
0.696;0.0;0.4737;0.5263;0.0;0.024;0.0267,50;120;40,0.888
0.876;0.0133;0.5067;0.48;0.0007;0.0253;0.024,50;105;55,0.924
0.96;0.0345;0.4483;0.5172;0.002;0.026;0.03,30;110;35,0.936
0.972;0.0316;0.5053;0.4632;0.002;0.032;0.0293,60;80;75,0.792
0.672;0.0128;0.5128;0.4744;0.0007;0.0267;0.0247,120;75;30,0.876
1.128;0.0204;0.5;0.4796;0.0013;0.0327;0.0313,70;55;120,0.984
1.068;0.0519;0.4675;0.4805;0.0027;0.024;0.0247,65;115;60,0.984
1.092;0.0286;0.5429;0.4286;0.002;0.038;0.03,95;95;30,0.912
0.84;0.07;0.45;0.48;0.0047;0.03;0.032,75;90;120,0.768
1.044;0.0233;0.4767;0.5;0.0013;0.0273;0.0287,80;60;50,0.924
1.08;0.0935;0.4579;0.4486;0.0067;0.0327;0.032,100;100;60,0.768
1.056;0.0;0.5287;0.4713;0.0;0.0307;0.0273,55;120;90,1.008
1.092;0.0325;0.4878;0.4797;0.0027;0.04;0.0393,110;115;65,0.744
0.324;0.0;0.4545;0.5455;0.0;0.02;0.024,45;90;65,0.828
1.104;0.0459;0.4862;0.4679;0.0033;0.0353;0.034,65;45;60,0.936
0.996;0.0385;0.5128;0.4487;0.002;0.0267;0.0233,70;120;115,0.852
0.912;0.0612;0.4694;0.4694;0.004;0.0307;0.0307,90;45;90,0.864
1.056;0.0426;0.4681;0.4894;0.0027;0.0293;0.0307,90;50;110,0.972
0.948;0.0102;0.5306;0.4592;0.0007;0.0347;0.03,85;35;85,0.792
0.564;0.0133;0.52;0.4667;0.0007;0.026;0.0233,120;65;70,0.96
0.768;0.0274;0.4932;0.4795;0.0013;0.024;0.0233,80;100;90,0.9
1.152;0.1143;0.4571;0.4286;0.008;0.032;0.03,90;100;45,0.912
0.684;0.0116;0.5116;0.4767;0.0007;0.0293;0.0273,85;80;30,0.888
1.14;0.0319;0.5;0.4681;0.002;0.0313;0.0293,70;110;90,0.9
0.984;0.0;0.4824;0.5176;0.0;0.0273;0.0293,35;75;30,0.888
0.792;0.0267;0.4667;0.5067;0.0013;0.0233;0.0253,75;115;90,0.96
1.164;0.0536;0.5268;0.4196;0.004;0.0393;0.0313,115;75;85,0.948
0.972;0.0;0.5119;0.4881;0.0;0.0287;0.0273,70;115;55,0.924
0.996;0.0;0.5093;0.4907;0.0;0.0367;0.0353,115;85;115,0.876
1.056;0.0887;0.4516;0.4597;0.0073;0.0373;0.038,50;55;65,0.732
1.08;0.044;0.4835;0.4725;0.0027;0.0293;0.0287,65;65;110,0.84
1.032;0.0213;0.5319;0.4468;0.0013;0.0333;0.028,30;85;65,0.996
0.864;0.012;0.5301;0.4578;0.0007;0.0293;0.0253,40;90;70,0.852
0.792;0.0417;0.4444;0.5139;0.002;0.0213;0.0247,30;105;85,0.852
0.936;0.0119;0.4762;0.5119;0.0007;0.0267;0.0287,30;30;100,0.9
0.396;0.0;0.5211;0.4789;0.0;0.0247;0.0227,60;115;80,0.864
1.116;0.0652;0.4674;0.4674;0.004;0.0287;0.0287,65;95;95,1.056
1.056;0.0602;0.4699;0.4699;0.0033;0.026;0.026,75;60;85,0.984
0.648;0.0135;0.5;0.4865;0.0007;0.0247;0.024,95;105;50,0.888
1.008;0.044;0.5275;0.4286;0.0027;0.032;0.026,55;100;80,0.888
1.08;0.0;0.5128;0.4872;0.0;0.0267;0.0253,105;65;65,1.152
1.044;0.0263;0.4737;0.5;0.0013;0.024;0.0253,95;30;50,1.008
0.864;0.0;0.5172;0.4828;0.0;0.03;0.028,80;100;70,0.936
1.104;0.0918;0.4796;0.4286;0.006;0.0313;0.028,115;45;55,0.984
1.056;0.0617;0.4691;0.4691;0.0033;0.0253;0.0253,110;115;50,0.912
0.828;0.0;0.5185;0.4815;0.0;0.028;0.026,55;115;80,0.864
0.792;0.0;0.5181;0.4819;0.0;0.0287;0.0267,50;120;120,0.936
0.732;0.0112;0.5169;0.4719;0.0007;0.0307;0.028,55;105;75,0.924
1.02;0.0225;0.4382;0.5393;0.0013;0.026;0.032,75;30;75,0.972
0.66;0.0;0.5169;0.4831;0.0;0.0307;0.0287,60;70;60,0.9
0.948;0.0235;0.4706;0.5059;0.0013;0.0267;0.0287,60;30;30,0.924
1.08;0.0278;0.4722;0.5;0.002;0.034;0.036,35;110;105,0.816
1.08;0.0213;0.4787;0.5;0.0013;0.03;0.0313,120;75;55,0.924
0.984;0.0355;0.4965;0.4681;0.0033;0.0467;0.044,90;80;55,0.78
0.492;0.0267;0.5067;0.4667;0.0013;0.0253;0.0233,40;95;55,0.828
1.044;0.044;0.5165;0.4396;0.0027;0.0313;0.0267,115;100;105,0.792
1.068;0.0227;0.4886;0.4886;0.0013;0.0287;0.0287,90;105;85,0.9
1.14;0.0885;0.4867;0.4248;0.0067;0.0367;0.032,40;100;90,0.936
1.008;0.0361;0.5663;0.3976;0.002;0.0313;0.022,50;100;35,0.888
1.056;0.0494;0.4938;0.4568;0.0027;0.0267;0.0247,110;90;85,0.924
0.852;0.0123;0.4691;0.5185;0.0007;0.0253;0.028,85;30;90,0.912
0.936;0.0357;0.5119;0.4524;0.002;0.0287;0.0253,95;35;55,0.972
0.936;0.0253;0.4684;0.5063;0.0013;0.0247;0.0267,95;30;35,0.984
0.852;0.0247;0.5062;0.4691;0.0013;0.0273;0.0253,75;55;80,0.9
1.02;0.0612;0.5306;0.4082;0.004;0.0347;0.0267,70;35;120,0.804
1.08;0.0843;0.506;0.4096;0.0047;0.028;0.0227,80;85;115,0.9
0.984;0.033;0.4945;0.4725;0.002;0.03;0.0287,70;105;120,0.9
0.54;0.0;0.5278;0.4722;0.0;0.0253;0.0227,45;70;95,0.864
1.02;0.0538;0.4839;0.4624;0.0033;0.03;0.0287,100;30;45,0.852
0.66;0.0;0.4714;0.5286;0.0;0.022;0.0247,75;90;80,0.816
0.852;0.0;0.4571;0.5429;0.0;0.0213;0.0253,75;40;60,1.02
0.948;0.0404;0.5051;0.4545;0.0027;0.0333;0.03,110;110;105,0.888
0.972;0.023;0.4943;0.4828;0.0013;0.0287;0.028,95;35;35,0.936
1.08;0.07;0.46;0.47;0.0047;0.0307;0.0313,40;75;55,0.924
1.056;0.0641;0.5128;0.4231;0.0033;0.0267;0.022,105;45;115,0.9
0.984;0.036;0.4865;0.4775;0.0027;0.036;0.0353,45;70;115,0.756
1.056;0.05;0.5125;0.4375;0.0027;0.0273;0.0233,70;60;105,0.9
1.056;0.086;0.4946;0.4194;0.0053;0.0307;0.026,90;115;100,0.936
0.996;0.0114;0.5;0.4886;0.0007;0.0293;0.0287,60;100;30,0.888
0.528;0.0;0.5;0.5;0.0;0.0233;0.0233,105;115;110,0.876
0.936;0.0122;0.5366;0.4512;0.0007;0.0293;0.0247,105;60;90,0.948
0.72;0.0256;0.4872;0.4872;0.0013;0.0253;0.0253,60;90;90,0.864
1.128;0.0189;0.4906;0.4906;0.0013;0.0347;0.0347,95;95;95,0.9
0.732;0.0256;0.5;0.4744;0.0013;0.026;0.0247,90;95;75,0.936
0.948;0.0127;0.5063;0.481;0.0007;0.0267;0.0253,85;100;75,0.984
1.032;0.0133;0.5067;0.48;0.0007;0.0253;0.024,100;60;50,0.996
0.984;0.039;0.4805;0.4805;0.002;0.0247;0.0247,80;80;90,0.924
0.72;0.0;0.5122;0.4878;0.0;0.028;0.0267,110;115;45,0.972
1.14;0.0462;0.5077;0.4462;0.004;0.044;0.0387,95;65;80,0.768
0.516;0.0;0.5256;0.4744;0.0;0.0273;0.0247,60;60;60,0.852
1.104;0.0455;0.4545;0.5;0.0027;0.0267;0.0293,40;75;75,0.936
0.816;0.0;0.5;0.5;0.0;0.0253;0.0253,35;75;85,0.924
0.756;0.0;0.4835;0.5165;0.0;0.0293;0.0313,95;55;100,0.912
0.924;0.0714;0.5159;0.4127;0.006;0.0433;0.0347,90;55;50,0.756
1.044;0.0;0.4487;0.5513;0.0;0.0233;0.0287,95;105;45,0.852
0.624;0.0;0.4789;0.5211;0.0;0.0227;0.0247,35;45;65,0.876
1.032;0.0879;0.4615;0.4505;0.0053;0.028;0.0273,45;40;95,0.924
0.996;0.025;0.475;0.5;0.0013;0.0253;0.0267,100;110;95,0.888
1.056;0.0833;0.4524;0.4643;0.0047;0.0253;0.026,65;60;85,0.984
0.972;0.0;0.5581;0.4419;0.0;0.032;0.0253,95;30;90,0.924
0.888;0.0215;0.4839;0.4946;0.0013;0.03;0.0307,110;85;100,0.972
1.008;0.023;0.4828;0.4943;0.0013;0.028;0.0287,95;35;50,0.96
0.852;0.0;0.4557;0.5443;0.0;0.024;0.0287,90;55;105,0.912
0.984;0.0268;0.5268;0.4464;0.002;0.0393;0.0333,70;95;30,0.768
0.288;0.0256;0.5128;0.4615;0.0013;0.0267;0.024,70;70;70,0.816
0.972;0.0241;0.5181;0.4578;0.0013;0.0287;0.0253,60;60;30,1.008
0.66;0.0625;0.4625;0.475;0.0033;0.0247;0.0253,115;70;40,0.816
1.092;0.0102;0.4694;0.5204;0.0007;0.0307;0.034,75;85;100,1.02
1.068;0.0841;0.5234;0.3925;0.006;0.0373;0.028,35;80;120,0.816
1.068;0.039;0.4675;0.4935;0.002;0.024;0.0253,65;45;75,0.9
0.624;0.0;0.4615;0.5385;0.0;0.024;0.028,45;55;85,0.804
1.164;0.0522;0.5;0.4478;0.0047;0.0447;0.04,70;50;55,0.828
0.924;0.0132;0.4605;0.5263;0.0007;0.0233;0.0267,40;65;75,0.984
0.648;0.0;0.519;0.481;0.0;0.0273;0.0253,65;65;75,0.924
1.008;0.0238;0.5357;0.4405;0.0013;0.03;0.0247,45;75;80,0.888
0.912;0.0;0.4935;0.5065;0.0;0.0253;0.026,30;70;35,0.972
0.624;0.0;0.5063;0.4937;0.0;0.0267;0.026,95;30;75,0.852
1.092;0.0085;0.5169;0.4746;0.0007;0.0407;0.0373,120;45;95,0.792
0.612;0.0;0.5455;0.4545;0.0;0.028;0.0233,115;75;80,0.864
0.864;0.0278;0.4444;0.5278;0.0013;0.0213;0.0253,90;85;70,0.816
1.068;0.09;0.46;0.45;0.006;0.0307;0.03,65;115;80,0.888
1.044;0.0225;0.5169;0.4607;0.0013;0.0307;0.0273,100;35;70,0.912
0.804;0.0135;0.5;0.4865;0.0007;0.0247;0.024,40;110;45,0.9
1.02;0.0;0.5056;0.4944;0.0;0.03;0.0293,80;100;30,1.02
0.756;0.0723;0.506;0.4217;0.004;0.028;0.0233,80;105;110,0.984
0.768;0.0;0.5114;0.4886;0.0;0.03;0.0287,90;100;105,0.9
1.056;0.043;0.5054;0.4516;0.0027;0.0313;0.028,55;110;30,0.996
1.152;0.0522;0.5304;0.4174;0.004;0.0407;0.032,75;85;70,0.816
0.936;0.0127;0.5063;0.481;0.0007;0.0267;0.0253,35;30;100,0.864
1.152;0.1031;0.4948;0.4021;0.0067;0.032;0.026,85;70;60,0.828
1.008;0.0568;0.4773;0.4659;0.0033;0.028;0.0273,85;65;70,0.9
1.116;0.1215;0.4299;0.4486;0.0087;0.0307;0.032,85;115;85,0.828
1.092;0.0312;0.5312;0.4375;0.002;0.034;0.028,100;105;95,0.876
0.828;0.0519;0.4935;0.4545;0.0027;0.0253;0.0233,45;60;80,0.756
1.02;0.0222;0.5111;0.4667;0.0013;0.0307;0.028,50;120;40,0.936
1.068;0.0;0.4719;0.5281;0.0;0.028;0.0313,50;60;120,0.984
0.852;0.0291;0.5146;0.4563;0.002;0.0353;0.0313,105;95;95,0.912
1.08;0.011;0.4945;0.4945;0.0007;0.03;0.03,120;95;45,0.9
0.996;0.0105;0.5158;0.4737;0.0007;0.0327;0.03,55;105;90,0.9
0.96;0.0211;0.493;0.4859;0.002;0.0467;0.046,85;40;30,0.732
0.288;0.1078;0.4412;0.451;0.0073;0.03;0.0307,60;30;55,0.828
0.936;0.0;0.5122;0.4878;0.0;0.028;0.0267,85;95;30,0.948
0.696;0.0115;0.5172;0.4713;0.0007;0.03;0.0273,50;75;115,0.864
1.02;0.0118;0.5176;0.4706;0.0007;0.0293;0.0267,50;30;120,0.936
1.032;0.0;0.4958;0.5042;0.0;0.0393;0.04,50;65;60,0.744
0.228;0.0137;0.5205;0.4658;0.0007;0.0253;0.0227,95;50;90,0.816
0.96;0.0417;0.4896;0.4688;0.0027;0.0313;0.03,65;95;110,0.924
1.068;0.0309;0.5361;0.433;0.002;0.0347;0.028,70;40;100,0.876
1.056;0.056;0.472;0.472;0.0047;0.0393;0.0393,95;95;120,0.78
0.12;0.0;0.5147;0.4853;0.0;0.0233;0.022,35;70;75,0.888
0.72;0.0;0.493;0.507;0.0;0.0233;0.024,120;95;115,0.948
1.116;0.0753;0.4839;0.4409;0.0047;0.03;0.0273,105;45;110,1.02
1.044;0.0105;0.5368;0.4526;0.0007;0.034;0.0287,85;50;50,0.924
0.948;0.012;0.494;0.494;0.0007;0.0273;0.0273,110;100;60,0.972
1.14;0.0495;0.4455;0.505;0.0033;0.03;0.034,95;45;60,1.02
0.744;0.0792;0.4554;0.4653;0.0053;0.0307;0.0313,110;35;30,0.78
1.068;0.0435;0.5109;0.4457;0.0027;0.0313;0.0273,115;100;45,0.948
0.78;0.027;0.473;0.5;0.0013;0.0233;0.0247,35;110;50,0.828
1.092;0.0753;0.4839;0.4409;0.0047;0.03;0.0273,110;90;95,0.876
1.068;0.0345;0.4943;0.4713;0.002;0.0287;0.0273,120;40;120,0.948
0.504;0.039;0.4805;0.4805;0.002;0.0247;0.0247,95;100;105,0.852
0.996;0.0235;0.4471;0.5294;0.0013;0.0253;0.03,45;50;55,0.96
1.008;0.037;0.4938;0.4691;0.002;0.0267;0.0253,75;110;75,0.96
0.492;0.0;0.4868;0.5132;0.0;0.0247;0.026,50;110;115,0.888
1.152;0.0189;0.4906;0.4906;0.0013;0.0347;0.0347,100;115;55,0.972
1.008;0.1017;0.5;0.3983;0.008;0.0393;0.0313,90;45;45,0.768
1.08;0.0455;0.4886;0.4659;0.0027;0.0287;0.0273,80;65;70,0.852
0.984;0.0098;0.5294;0.4608;0.0007;0.036;0.0313,40;80;115,0.924
0.888;0.0494;0.4691;0.4815;0.0027;0.0253;0.026,120;70;95,0.816
0.804;0.0118;0.4824;0.5059;0.0007;0.0273;0.0287,65;105;120,1.008
1.056;0.0759;0.5063;0.4177;0.004;0.0267;0.022,75;100;45,0.888
0.948;0.0115;0.5057;0.4828;0.0007;0.0293;0.028,50;55;55,0.9
0.996;0.0;0.4935;0.5065;0.0;0.0253;0.026,50;45;50,1.068
1.044;0.0161;0.4919;0.4919;0.0013;0.0407;0.0407,40;85;40,0.852
1.068;0.0568;0.5;0.4432;0.0033;0.0293;0.026,110;85;110,0.9
0.888;0.0114;0.5682;0.4205;0.0007;0.0333;0.0247,70;65;30,0.876
1.008;0.0506;0.4684;0.481;0.0027;0.0247;0.0253,95;80;30,1.044
0.984;0.0952;0.4881;0.4167;0.0053;0.0273;0.0233,40;45;70,0.876
1.08;0.0745;0.4787;0.4468;0.0047;0.03;0.028,105;85;110,0.9
1.056;0.0361;0.506;0.4578;0.002;0.028;0.0253,75;80;60,0.936
0.756;0.0;0.5176;0.4824;0.0;0.0293;0.0273,120;40;75,0.864
0.924;0.0141;0.4648;0.5211;0.0007;0.022;0.0247,40;60;95,0.9
1.104;0.06;0.47;0.47;0.004;0.0313;0.0313,115;65;70,0.924
0.384;0.0;0.4648;0.5352;0.0;0.022;0.0253,95;95;105,0.888
1.104;0.0275;0.4862;0.4862;0.002;0.0353;0.0353,105;70;65,0.924
0.78;0.012;0.4699;0.5181;0.0007;0.026;0.0287,95;30;55,0.804
0.78;0.0;0.5165;0.4835;0.0;0.0313;0.0293,120;120;85,0.924
0.66;0.0706;0.4941;0.4353;0.004;0.028;0.0247,115;40;55,0.84
1.104;0.0097;0.4563;0.534;0.0007;0.0313;0.0367,120;95;65,0.9
0.636;0.0583;0.5146;0.4272;0.004;0.0353;0.0293,50;95;120,0.744
1.02;0.0244;0.5244;0.4512;0.0013;0.0287;0.0247,55;95;70,0.924
0.984;0.039;0.5195;0.4416;0.002;0.0267;0.0227,30;105;115,0.924
0.888;0.0253;0.4937;0.481;0.0013;0.026;0.0253,45;35;30,0.912
1.08;0.012;0.4819;0.506;0.0007;0.0267;0.028,120;60;65,0.924
0.6;0.0139;0.5;0.4861;0.0007;0.024;0.0233,50;45;45,0.852
0.996;0.0235;0.4471;0.5294;0.0013;0.0253;0.03,75;110;105,0.876
1.068;0.0217;0.5109;0.4674;0.0013;0.0313;0.0287,45;60;65,0.984
0.9;0.0;0.5375;0.4625;0.0;0.0287;0.0247,100;65;105,0.852
